A3MUSDLIBORVariablerate
AOCIRecyclingOfDivestitureDeconsolidation
APICConsiderationReceivedForTaxCreditsUtilized
ATMOfferingMaximumAggregateSalesProceeds
AbsorptionOfReductionToShareholdersEquityToRemainInComplianceWithCovenant
AccelerateVestingPercentage
AcceleratedDepreciation
AcceleratedDepreciationCosts
AcceleratedDepreciationExpense
AcceleratedDepreciationForPeriod
AcceleratedShareRepurchasesAdjustmentToRecordedAmount
AcceleratedShareRepurchasesFinalPricePaidPerShare
AcceleratedShareRepurchasesInitialPricePaidPerShare
AcceleratedShareRepurchasesSettlementPaymentOrReceipt
AcceleratedShareRepurchasesWeightedAveragePricePerShare
AcceleratedStockRepurchaseAgreementAmount
AccountReceivableNumberofFactorsRequiredtoDetermineCostofAdvanceBackstoppingaLetterofCreditIssuedUndertheSecuritizationFacility
AccountReceivableSecuritizationProgramFees
AccountReceivablesBookedRecoveryAction
AccountingEstimateMaximumPercentagePointsInWeightedProbabilityOfPessimisticCase
AccountingEstimateMinimumPercentagePointsInWeightedProbabilityOfPessimisticCase
AccountingEstimatePercentageOfDiscountRateUsedInWeightedProbabilityOfOccurrenceInAllScenarios
AccountingEstimateProbabilityOfOccurrenceInBaseScenario
AccountingEstimateProbabilityOfOccurrenceInOptimisticScenario
AccountingEstimateProbabilityOfOccurrenceInPessimisticScenario
AccountingProfit
AccountsAndFinancingReceivableAllowanceForCreditLoss





AccountsPayableAndAccruedExpensesRelatedPartiesCurrent

AccountsPayableAndAccruedLiabilitiesCurrent
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent
AccountsPayableAndAccruedLiabilitiesNoncurrent
AccountsPayableAndOtherAccruedLiabilities
AccountsPayableAndOtherAccruedLiabilitiesCurrent


AccountsPayableFairValueDisclosure



AccountsPayableOfConsolidatedVariableInterestEntitiesViesWithoutRecourseToTheCompany
AccountsPayableOfConsolidatedVariableInterestEntitiesViesWithoutResourceToTheCompany










AccountsReceivableAllowanceForCreditLossAcquisition
AccountsReceivableAllowanceForCreditLossCARESAct
AccountsReceivableAllowanceForCreditLossForeignCurrencyTranslation
AccountsReceivableAllowanceForCreditLossIncreaseDecreaseFromCOVID19
AccountsReceivableAllowanceForCreditLossOtherIncreaseDecrease
AccountsReceivableBilledForLongTermContractsOrPrograms
AccountsReceivableCreditLossExpenseReversalCARESAct
AccountsReceivableDerecognized
AccountsReceivableFromSecuritization


AccountsReceivableNetDueInNextFiscalYear
AccountsReceivableNetDueInYearFive
AccountsReceivableNetDueInYearFour
AccountsReceivableNetDueInYearThree
AccountsReceivableNetDueThereafter
AccountsReceivableNetDueinYearTwo

AccountsReceivableNetOf10000Allowance
AccountsReceivableOfImpairedAssetGroup
AccountsReceivableReclassificationToOtherCurrentAssets
AccountsReceivableReclassifiedAsPrepaidExpenseAndOtherAssetsCurrent



AccountsReceivableRelatedToSaleOfUsedRentalEquipment

AccountsReceivablesPercentageOfTotalTrade
Accountsreceivablespercentageoftotaltrade
AccretedValuePrincipalAmountOfZeroCouponConvertibleSeniorNotes







AccretionOfCarryingValueToRedemptionValue
AccretionOfClassCommonStockSubjectToPossibleRedemption
AccretionOfConvertiblePreferredShares
AccretionOfConvertiblePreferredStock



AccretionOfFinalPaymentOfDebtInstrument
AccretionOfIncomeToTrustAccount
AccretionOfInterestOnLitigationSettlements
AccretionOfInterestOnLitigationSettlementsThereafter
AccretionOfInterestOnLitigationSettlementsYearOne
AccretionOfInterestOnLitigationSettlementsYearTwo
AccretionofDiscountsTradingSecurities
AccrualDeferredUnderwritingFee
AccrualForContractTerminations
AccrualForEnvironmentalLossContingencies
AccrualForEnvironmentalLossContingenciesComponentAmount
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForCurrencyTranslation
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForRevisionInEstimates
AccrualForEnvironmentalLossContingenciesPeriodIncreaseDecrease
AccrualForEnvironmentalLossContingenciesProvisionForNewLosses
AccrualForLeaseholderImprovements
AccrualForLicenseFeeDisputeCurrent
AccrualForLicenseFeeDisputeNoncurrent
AccrualForPropertyAndSalesTaxesCurrent
AccrualForTaxesOtherThanIncomeTaxesCurrent
AccrualOfDeferredUnderwritingFee
AccrueInterestPercentage
AccruedAdministrativeExpenses
AccruedAdministrativeFee



AccruedAndOtherCurrentLiabilitiesFairValueDisclosure
AccruedAndUnpaidInterestOnTheNote
AccruedBarrelPurchaseCurrent
AccruedBulkWineAndOtherReceivedNotInvoicedCurrent
AccruedBulkWineCurrent
AccruedButUnpaidInterest
AccruedCapitalExpendituresAndLeaseholdImprovementsCurrent
AccruedClinicalStudiesCosts
AccruedCompensatedAbsencesCurrent
AccruedContractLoss

AccruedDevelopmentExpenses

AccruedEnvironmentalLossContingenciesCurrent

AccruedExpenseRelatedParty
AccruedExpenseReversal


AccruedExpensesAndConversionOfNotePayableToConvertibleNotes



AccruedExpensesAndOtherLiabilitiesOfVIEsWithoutRecourseToTheCompany
AccruedExpensesAndOtherLiabilitiesOfViesWithoutRecourseToTheCompanyIncludedInOtherCurrentLiabilities
AccruedExpensesAndOtherLiabilitiesOfViesWithoutResourceToTheCompany
AccruedExpensesDerivativesAndOtherLiabilitiesCurrent
AccruedExpensesHealthcare
AccruedExpensesTerminationFee
AccruedFeesAndOtherRevenueReceivable
AccruedFinanceAndInsuranceChargebacksCurrent
AccruedFinanceAndInsuranceChargebacksNoncurrent
AccruedGoodsAndServicesReceivedNotInvoicedCurrent
AccruedGrowerPurchases
AccruedIncentiveFeeAndBonus
AccruedIncentiveFeeAndBonus1
AccruedIncentiveFeeAndBonusExpense

AccruedIncomeTaxesNoncurrentAndLiabilityForUncertainTaxPositionsNoncurrent
AccruedInitialPublicOfferingRelatedCosts
AccruedInsuranceCurrent




AccruedInterestAndAmortizationOfBeneficialConversionFeatureOnPromissoryNotes
AccruedInterestAndBrokerageFees
AccruedInterestAndFeesOnLoanPayable
AccruedInterestOfNotesPayable
AccruedInterestOfOnTheLoan
AccruedInterestOnUnsettledInterestRateSwapContracts
AccruedInterestPayableFairValueDisclosure
