sheet,gaap
,CommitmentsAndContingencies
,CommonStockDividendsPerShareCashPaid
,CommonStockDividendsPerShareDeclared
,CommonStockNoParValue
,CommonStockParOrStatedValuePerShare
,CommonStockSharesAuthorized
,CommonStockSharesIssued
,CommonStockSharesOutstanding
,CommonStockValue
,CommonStocksIncludingAdditionalPaidInCapital
,ComprehensiveIncomeNetOfTax
,ConcentrationRiskPercentage1
,ContractWithCustomerLiability
,ContractWithCustomerLiabilityCurrent
,ContractWithCustomerLiabilityRevenueRecognized
,CorporateDepreciationAmortizationAndAccretion
,CostOfGoodsAndServicesSold
,CostOfGoodsAndServicesSoldDepreciation
,CostOfReimbursableExpense
,CreditRiskAmountOfForeignCurrencyDerivativeInstrumentsDesignatedAsHedgingInstruments
,CreditRiskAmountOfForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments
,CreditRiskAmountOfInterestRateDerivativeInstrumentsDesignatedAsHedgingInstruments
,CumulativeEffectOfInitialAdoptionOfFIN48
,CumulativeEffectOfInitialAdoptionOfNewAccountingPrinciple
,CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
,CumulativeStockRepurchasedAndRetiredShares
,CurrentFederalTaxExpenseBenefit
,CurrentForeignTaxExpenseBenefit
,CurrentStateAndLocalTaxExpenseBenefit
,DebtInstrumentBasisSpreadOnVariableRate1
,DebtInstrumentCarryingAmount
,DebtInstrumentFaceAmount
,DebtInstrumentInterestRateDuringPeriod
,DebtInstrumentInterestRateEffectivePercentage
,DebtInstrumentInterestRateEffectivePercentageRateRangeMaximum
,DebtInstrumentInterestRateEffectivePercentageRateRangeMinimum
,DebtInstrumentInterestRateStatedPercentage
,DebtInstrumentInterestRateStatedPercentageRateRangeMaximum
,DebtInstrumentInterestRateStatedPercentageRateRangeMinimum
,DebtInstrumentUnamortizedDiscount
,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet
,DebtInstrumentUnamortizedDiscountPremiumNet
,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger
,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss
,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months
,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss
,DebtSecuritiesAvailableForSaleRestricted
,DebtSecuritiesAvailableForSaleUnrealizedLossPosition
,DebtSecuritiesAvailableForSaleUnrealizedLossPositionAccumulatedLoss
,DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible
,DeferredFederalIncomeTaxExpenseBenefit
,DeferredForeignIncomeTaxExpenseBenefit
,DeferredIncomeTaxExpenseBenefit
,DeferredIncomeTaxLiabilities
,DeferredIncomeTaxLiabilitiesNet
,DeferredRevenueCurrent
,DeferredRevenueNoncurrent
,DeferredStateAndLocalIncomeTaxExpenseBenefit
,DeferredTaxAssetsAccountsReceivableAndInventoryReserves
,DeferredTaxAssetsBasisOfCapitalAssetsAndInvestments
,DeferredTaxAssetsDeferredCostSharing
,DeferredTaxAssetsDeferredIncome
,DeferredTaxAssetsGoodwillAndIntangibleAssets
,DeferredTaxAssetsGross
,DeferredTaxAssetsLeaseLiabilities
,DeferredTaxAssetsLiabilitiesNet
,DeferredTaxAssetsLiabilitiesNetCurrent
,DeferredTaxAssetsNet
,DeferredTaxAssetsNetCurrent
,DeferredTaxAssetsOther
,DeferredTaxAssetsOtherComprehensiveLoss
,DeferredTaxAssetsPropertyPlantAndEquipment
,DeferredTaxAssetsTaxCreditCarryforwards
,DeferredTaxAssetsTaxCreditCarryforwardsForeign
,DeferredTaxAssetsTaxCreditCarryforwardsResearch
,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost
,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals
,DeferredTaxAssetsUnrealizedLosses
,DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross
,DeferredTaxAssetsValuationAllowance
,DeferredTaxLiabilities
